사원번호,이름,성별,나이,생년월일,주민등록번호,병역,입사일,근속기간,학력,출신대학,학점,채용경로,계약형태,이전직장명,이전최종직급,이전담당업무,회사명,사업장위치,부서,팀,부서레벨,직급,직책,직급레벨,퇴직구분,퇴직일자,이메일,전화번호,주소,연봉,잔업시간,미사용휴가일수,급여은행,계좌번호,4대보험가입여부,성과점수,인사고과_2020,인사고과_2021,인사고과_2022,인사고과_2023,인사고과_2024,자격증,TOEIC점수,자격증수당여부,포상이력,징계이력,징계사유
EMP0011,민서현,여,27,2000-07-18,000718-4896922,해당없음,2023-03-07,3,전문대졸,경북전문대학교,3.2,추천,계약직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,대리,팀원,1,자발적퇴직,2024-10-17,minseohyun48@daum.net,010-6711-2425,서울시 강서구 마곡동,46000000,18,13,농협은행,356-1748-5143-68,가입,74,,,,C,C,SQLD,778,해당,,,
EMP0012,함민재,남,29,1998-03-20,980320-1361805,군필,2022-11-14,3,대졸,광운대학교,3.3,인턴전환,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,사원,팀원,1,,,hamminjae.3@nate.com,010-5402-7786,서울시 은평구 불광동,32000000,16,7,농협은행,356-7924-0356-55,미가입,70,,,B,C,C,정보처리기사,,해당,,,
EMP0013,정하린,여,35,1992-06-15,920615-2899281,해당없음,2018-05-23,7,고졸,,,공채,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,대리,팀원,1,,,jungharin3@kakao.com,010-4314-3161,경기도 용인시 기흥구 영덕동,45000000,10,14,토스뱅크,100-8005-3757,가입,71,C,C,C,B,C,컴퓨터활용능력1급,795,해당,MVP,,
EMP0014,한나은,여,29,1998-11-21,981121-2485416,해당없음,2024-02-12,2,전문대졸,명지전문대학,3.1,경력,정규직,SK하이닉스,차장,프론트엔드개발,두리안정보기술,서울 여의도,개발부,인프라팀,1,사원,팀원,1,자발적퇴직,2025-02-11,hannaeun.9@gmail.com,010-3688-8210,서울시 노원구 상계동,35200000,7,4,우리은행,1006-486-473328,가입,72,,,,,B,SQLD,545,해당,,,
EMP0015,나준서,남,36,1991-04-03,910403-1409898,군필,2018-08-28,7,대졸,세종대학교,3.9,인턴전환,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,najunseo.2@gmail.com,010-6916-6185,서울시 서초구 방배동,39000000,22,15,농협은행,302-5797-0081-98,가입,75,C,B,B,B,B,,765,비해당,,,
EMP0016,주수진,여,35,1992-08-25,920825-2662445,해당없음,2018-03-25,8,대졸,서울대학교,3.9,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,대리,팀원,1,,,jusujin90@kakao.com,010-2900-8428,인천시 부평구 부평동,42900000,16,9,카카오뱅크,333-42-7361634,가입,70,D,C,B,C,B,SQLD,761,해당,,,
EMP0017,전현우,남,24,2003-03-16,030316-3857888,미필,2025-12-01,0,전문대졸,경북전문대학교,3.6,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,사원,팀원,1,,,jeonhyunwoo41@daum.net,010-7274-3458,서울시 마포구 상암동,35000000,8,0,기업은행,030-08-386379,가입,76,,,,,,AWS Solutions Architect,630,해당,,,
EMP0018,차준혁,남,29,1998-06-09,980609-1910143,면제,2025-07-24,0,대졸,한국외국어대학교,2.8,공채,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,사원,팀원,1,,,chajunhyuk.4@daum.net,010-1157-6488,서울시 강남구 역삼동,31000000,16,7,카카오뱅크,333-38-0379793,가입,77,,,,,,,,비해당,,,
EMP0019,공수빈,여,27,2000-08-02,000802-4442099,해당없음,2023-04-14,3,대졸,서울대학교,3.6,추천,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,사원,팀원,1,,,kongsubin_307@gmail.com,010-3693-8365,서울시 강서구 마곡동,32000000,12,7,신한은행,180-057-416568,가입,68,,,,C,C,컴퓨터활용능력1급,,해당,,,
EMP0020,백채원,여,36,1991-05-15,910515-2584487,해당없음,2014-04-15,12,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,과장,팀원,1,,,baekchaewon_112@kakao.com,010-7098-2376,경기도 고양시 일산동구 장항동,57200000,30,4,기업은행,020-02-654235,가입,86,A,A,B,C,B,빅데이터분석기사,,해당,,,
EMP0021,정서윤,여,27,2000-06-04,000604-4163941,해당없음,2023-03-03,3,대졸,중앙대학교,3.7,추천,정규직,,,,두리안정보기술,서울 여의도,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jungseoyoon54@kakao.com,010-6883-8859,경기도 수원시 영통구 매탄동,30000000,9,4,국민은행,651026-20-180450,가입,72,,,,C,C,,651,비해당,,,
EMP0022,문아름,여,36,1991-01-11,910111-2721301,해당없음,2017-05-06,9,대졸,경희대학교,3.3,추천,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,과장,팀원,1,,,moonareum.3@naver.com,010-9064-9882,서울시 강동구 천호동,57000000,30,11,하나은행,111-683087-1056,가입,85,B,B,B,B,B,빅데이터분석기사,929,해당,,,
EMP0023,노도윤,남,24,2003-01-17,030117-3930307,미필,2025-10-08,0,대졸,경북대학교,3,경력,계약직,네이버,사원,백엔드개발,두리안정보기술,서울 여의도,개발부,AI팀,1,사원,팀원,1,,,nohdoyoon38@daum.net,010-5825-3086,서울시 마포구 상암동,40700000,15,5,우리은행,1006-068-342299,가입,70,,,,,,,665,비해당,공로상,,
EMP0024,원동현,남,36,1991-06-26,910626-1274418,면제,2023-03-20,3,전문대졸,영진전문대학교,3.6,인턴전환,계약직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,wondonghyun_484@kakao.com,010-2207-1547,서울시 강동구 천호동,47000000,17,11,우리은행,1006-488-848167,가입,80,,,,B,B,컴퓨터활용능력1급,,해당,,감봉,업무태만
EMP0025,홍현준,남,25,2002-03-24,020324-3104000,군필,2025-03-13,1,대학원졸,중앙대학교,3.6,추천,계약직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,사원,팀원,1,,,honghyunjun_kr@gmail.com,010-8758-2892,서울시 강동구 천호동,31000000,6,15,카카오뱅크,333-80-5189190,가입,69,,,,,,,549,비해당,MVP,,
EMP0026,심지영,여,40,1987-07-06,870706-2820442,해당없음,2015-11-18,10,대졸,성균관대학교,3.2,인턴전환,계약직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,차장,팀원,2,,,shimjiyoung.9@hanmail.net,010-3415-2970,서울시 강서구 마곡동,65000000,24,15,농협은행,351-1321-7740-16,가입,81,B,B,B,B,B,,930,비해당,,,
EMP0027,한건우,남,26,2001-11-14,011114-3923914,미필,2025-07-03,0,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,인사부,교육팀,3,사원,팀원,1,정년퇴직,2025-08-20,hangunwoo.8@hanmail.net,010-8750-1613,서울시 마포구 상암동,33000000,18,11,토스뱅크,100-1827-6056,가입,77,,,,,,,,비해당,우수사원상,,
EMP0028,배지아,여,45,1982-06-23,820623-2321659,해당없음,2010-01-13,16,고졸,,,공채,계약직,,,,두리안정보기술,서울 여의도,개발부,인프라팀,1,차장,팀원,2,,,baejia.5@kakao.com,010-3222-9589,경기도 고양시 일산동구 장항동,69300000,22,11,농협은행,301-1019-9991-74,가입,90,A,A,A,A,S,정보보안기사,713,해당,,,
EMP0029,오도현,남,24,2003-01-12,030112-3995296,군필,2026-01-15,0,대졸,인하대학교,3.5,추천,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,사원,팀원,1,,,ohdohyun.7@gmail.com,010-1145-8767,서울시 서초구 방배동,33000000,18,7,기업은행,010-16-155940,가입,67,,,,,,,,비해당,,,
EMP0030,구민준,남,28,1999-12-21,991221-1373832,군필,2022-05-23,3,대졸,충남대학교,2.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,사원,팀원,1,,,koominjun_924@nate.com,010-1417-9148,서울시 강동구 천호동,34000000,8,7,카카오뱅크,333-43-9602257,가입,64,,,D,C,C,SQLD,672,해당,,,
EMP0031,백소연,여,27,2000-04-11,000411-4489737,해당없음,2023-12-19,2,대졸,전북대학교,3.3,인턴전환,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,대리,팀원,1,,,baeksoyeon91@naver.com,010-9199-2963,서울시 은평구 불광동,41000000,19,14,우리은행,1006-570-247985,가입,77,,,,C,C,SQLD,614,해당,,,
EMP0032,백서현,여,26,2001-10-15,011015-4104895,해당없음,2025-06-14,0,대졸,아주대학교,3.4,인턴전환,정규직,,,,두리안정보기술,서울 여의도,영업부,국내영업팀,1,사원,팀원,1,,,baekseohyun_429@naver.com,010-6641-6113,서울시 서초구 방배동,32000000,13,11,국민은행,109957-44-947153,가입,66,,,,,,빅데이터분석기사,,해당,,,
EMP0033,손도현,남,40,1987-01-10,870110-1722774,군필,2014-02-27,12,대졸,국민대학교,3,경력,정규직,SK하이닉스,대리,재무회계,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,차장,팀원,2,,,sondohyun63@gmail.com,010-9966-5140,경기도 성남시 분당구 판교동,64000000,25,0,국민은행,191250-76-882614,미가입,79,D,B,C,B,B,,827,비해당,,,
EMP0034,신민준,남,33,1994-09-09,940909-1102871,군필,2018-02-22,8,대학원졸,가천대학교,3.3,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,shinminjun.2@gmail.com,010-2659-5192,경기도 용인시 기흥구 영덕동,47000000,20,3,신한은행,110-830-050697,가입,70,C,C,C,C,D,ADsP,,해당,,,
EMP0035,남정우,남,34,1993-03-28,930328-1780364,미필,2023-02-27,3,대졸,숭실대학교,3.6,추천,정규직,,,,두리안정보기술,서울 여의도,영업부,해외영업팀,1,대리,팀원,1,자발적퇴직,2024-03-07,namjungwoo.8@nate.com,010-8178-3969,인천시 부평구 부평동,38000000,11,1,우리은행,1002-533-383578,미가입,72,,,,B,B,ADsP,697,해당,,,
EMP0036,함민지,여,36,1991-02-14,910214-2157216,해당없음,2014-08-16,11,대졸,한양대학교,3.6,공채,정규직,,,,두리안정보기술,경기 판교,개발부,백엔드팀,1,차장,팀원,2,,,hamminji_dev@naver.com,010-6421-5557,서울시 강남구 삼성동,73700000,25,15,하나은행,181-818056-8930,가입,80,B,C,B,B,B,,929,비해당,,,
EMP0037,차성민,남,30,1997-10-15,971015-1687360,군필,2023-08-15,2,대졸,이화여자대학교,2.7,공채,계약직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,대리,팀원,1,,,chasungmin_dev@nate.com,010-5783-9973,경기도 성남시 분당구 정자동,39000000,21,14,국민은행,444064-19-924545,가입,79,,,,C,B,,527,비해당,,,
EMP0038,원지민,여,26,2001-12-24,011224-4104548,해당없음,2024-03-27,2,대졸,홍익대학교,3.9,공채,정규직,,,,두리안정보기술,서울 여의도,개발부,AI팀,1,사원,팀원,1,,,wonjimin_899@gmail.com,010-7347-6273,경기도 성남시 분당구 정자동,39600000,13,15,토스뱅크,100-2140-1782,가입,73,,,,,B,,801,비해당,,,
EMP0039,백세연,여,44,1983-05-15,830515-2438041,해당없음,2007-07-11,18,대학원졸,강원대학교,3.8,인턴전환,정규직,,,,두리안정보기술,경기 판교,인사부,교육팀,3,부장,팀원,2,,,baekseyeon@kakao.com,010-1209-9564,서울시 서초구 서초동,79000000,17,15,기업은행,030-78-161849,가입,90,B,A,A,A,A,,,비해당,,,
EMP0040,손준서,남,24,2003-03-10,030310-3970300,군필,2025-05-25,0,대졸,숙명여자대학교,3.6,경력,정규직,포스코,대리,재무회계,두리안정보기술,서울 여의도,인사부,채용팀,3,사원,팀원,1,정년퇴직,2025-09-14,sonjunseo93@naver.com,010-3847-9418,서울시 서초구 서초동,34000000,15,6,하나은행,200-425743-6684,가입,71,,,,,,,880,비해당,,,
EMP0041,박미래,여,35,1992-10-28,921028-2795556,해당없음,2021-03-06,5,대졸,가천대학교,2.6,경력,정규직,KT,사원,마케팅기획,두리안정보기술,서울 강남,개발부,AI팀,1,대리,팀원,1,,,parkmirae28@nate.com,010-6668-8301,서울시 송파구 잠실동,46200000,15,9,토스뱅크,100-4760-4618,가입,79,,B,B,B,B,,774,비해당,,,
EMP0042,박재민,남,28,1999-12-10,991210-1315565,군필,2022-05-18,4,고졸,,,추천,계약직,,,,두리안정보기술,서울 강남,기획부,사업기획팀,1,대리,팀원,1,,,parkjaemin4@gmail.com,010-3916-5127,경기도 수원시 영통구 매탄동,38000000,20,4,하나은행,181-419583-5244,가입,70,,,C,C,C,,,비해당,,,
EMP0043,주우진,남,33,1994-07-14,940714-1883028,군필,2020-08-21,5,전문대졸,영진전문대학교,3.5,공채,계약직,,,,두리안정보기술,서울 강남,개발부,인프라팀,1,대리,팀원,1,,,juwoojin.9@naver.com,010-3019-1684,서울시 강남구 역삼동,47300000,22,4,국민은행,533458-18-136247,가입,77,B,B,B,B,C,빅데이터분석기사,,해당,공로상,,
EMP0044,성지현,여,28,1999-12-12,991212-2173199,해당없음,2025-12-24,0,대졸,서강대학교,2.8,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,sungjihyun.3@hanmail.net,010-6971-6182,서울시 영등포구 여의도동,33000000,10,14,국민은행,945967-56-694695,가입,75,,,,,,,843,비해당,,,
EMP0045,김재민,남,30,1997-07-09,970709-1132709,군필,2020-12-21,5,고졸,,,추천,계약직,,,,두리안정보기술,경기 판교,인사부,교육팀,3,대리,팀원,1,,,kimjaemin@kakao.com,010-4658-5767,서울시 서초구 방배동,43000000,22,1,신한은행,110-836-707477,가입,74,B,B,C,B,B,,,비해당,,,
EMP0046,하예은,여,30,1997-11-08,971108-2764343,해당없음,2024-09-01,1,전문대졸,인하공업전문대학,3.6,경력,정규직,네이버,사원,영업관리,두리안정보기술,경기 판교,기획부,전략기획팀,1,사원,팀원,1,,,hayeeun.2@daum.net,010-7165-4651,경기도 성남시 분당구 정자동,32000000,18,5,토스뱅크,100-9909-3153,가입,68,,,,,C,정보처리기사,832,해당,,,
EMP0047,문민지,여,38,1989-03-15,890315-2288783,해당없음,2016-01-17,10,전문대졸,경북전문대학교,2.7,경력,계약직,LG전자,대리,재무회계,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀원,1,,,moonminji20@hanmail.net,010-8723-8891,서울시 마포구 상암동,50000000,27,0,기업은행,020-93-103413,가입,83,B,B,B,B,A,AWS Solutions Architect,762,해당,공로상,,
EMP0048,백재현,남,26,2001-05-06,010506-3552457,미필,2024-11-17,1,대졸,이화여자대학교,2.7,경력,계약직,포스코,차장,데이터분석,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,baekjaehyun.6@nate.com,010-2600-7971,서울시 서초구 방배동,35000000,10,13,신한은행,110-912-435882,가입,61,,,,,D,,500,비해당,,,
EMP0049,심소희,여,28,1999-05-07,990507-2705711,해당없음,2022-09-14,3,대졸,세종대학교,3.5,경력,정규직,네이버,사원,데이터분석,두리안정보기술,서울 여의도,개발부,백엔드팀,1,사원,팀원,1,,,shimsohee85@naver.com,010-9328-7562,서울시 용산구 이태원동,33000000,17,4,카카오뱅크,333-99-8436541,가입,72,,,B,C,D,ADsP,786,해당,,,
EMP0050,한성민,남,36,1991-10-14,911014-1342924,군필,2015-03-16,11,대졸,성균관대학교,3.6,공채,정규직,,,,두리안정보기술,경기 판교,개발부,AI팀,1,차장,팀원,2,,,hansungmin_kr@kakao.com,010-6785-7474,서울시 은평구 불광동,67100000,25,11,농협은행,351-9235-5953-95,가입,78,B,C,B,C,B,,517,비해당,,,
EMP0051,곽민준,남,42,1985-12-27,851227-1894268,군필,2010-09-10,15,대졸,충남대학교,3.4,추천,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,부장,팀원,2,,,kwakminjun_kr@gmail.com,010-7269-4610,서울시 송파구 잠실동,86000000,19,14,신한은행,100-368-035264,가입,92,S,A,A,B,A,,,비해당,,,
EMP0052,백민지,여,39,1988-05-08,880508-2106945,해당없음,2020-12-27,5,전문대졸,명지전문대학,3.2,경력,정규직,KT,과장,데이터분석,두리안정보기술,경기 판교,개발부,인프라팀,1,과장,팀원,1,,,baekminji.3@daum.net,010-7518-4638,경기도 고양시 일산동구 장항동,57200000,25,10,하나은행,200-543642-8155,가입,79,B,C,D,C,C,SQLD,540,해당,,,
EMP0053,최준서,남,34,1993-06-13,930613-1572623,군필,2019-01-17,7,대졸,전북대학교,3,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,교육팀,3,대리,팀원,1,권고사직,2024-04-19,choijunseo40@kakao.com,010-4212-3389,서울시 서초구 방배동,48000000,19,7,기업은행,010-64-752553,가입,72,C,B,C,B,B,빅데이터분석기사,,해당,,,
EMP0054,김윤서,여,34,1993-09-24,930924-2780663,해당없음,2022-11-17,3,대학원졸,중앙대학교,3.1,공채,정규직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,대리,팀원,1,,,kimyunseo67@hanmail.net,010-5694-8598,경기도 용인시 기흥구 영덕동,43000000,22,11,국민은행,957024-78-683186,가입,77,,,B,C,C,,710,비해당,공로상,,
EMP0055,한수현,남,36,1991-02-03,910203-1516332,군필,2019-07-28,6,대졸,한국외국어대학교,3.6,인턴전환,정규직,,,,두리안정보기술,서울 강남,영업부,국내영업팀,1,대리,팀원,1,,,hansoohyun71@gmail.com,010-5300-3544,서울시 강남구 논현동,40000000,11,15,토스뱅크,100-3542-4029,가입,70,C,C,D,C,C,,,비해당,,,
EMP0056,전소희,여,31,1996-03-17,960317-2665883,해당없음,2020-11-05,5,대졸,덕성여자대학교,3.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,대리,팀원,1,,,jeonsohee@gmail.com,010-1001-9574,서울시 서초구 방배동,44000000,22,14,농협은행,302-2342-1683-10,미가입,70,C,C,C,C,C,,827,비해당,,,
EMP0057,류채영,여,31,1996-08-10,960810-2398505,해당없음,2019-08-25,6,전문대졸,경북전문대학교,2.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,과장,팀원,1,,,ryuchaeyoung.8@kakao.com,010-5458-9060,서울시 마포구 합정동,48000000,24,2,카카오뱅크,333-79-3902439,가입,77,C,B,B,B,D,,,비해당,,,
EMP0058,이지아,여,24,2003-05-05,030505-4227885,해당없음,2026-02-10,0,대졸,서울대학교,2.8,추천,정규직,,,,두리안정보기술,서울 강남,개발부,프론트팀,1,사원,팀원,1,,,leejia.2@nate.com,010-4415-8746,서울시 은평구 불광동,40700000,11,7,토스뱅크,100-9577-1713,가입,74,,,,,,ADsP,958,해당,,,
EMP0059,홍지유,여,36,1991-11-10,911110-2748696,해당없음,2015-05-16,11,전문대졸,경북전문대학교,2.9,공채,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,차장,팀원,2,,,hongjiyu46@naver.com,010-8992-4812,서울시 용산구 이태원동,63000000,25,1,국민은행,271175-23-132090,가입,78,B,B,B,C,B,,545,비해당,,,
EMP0060,유다은,여,30,1997-05-02,970502-2350385,해당없음,2024-12-05,1,대졸,아주대학교,3.4,경력,정규직,네이버,차장,마케팅기획,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,사원,팀원,1,,,yoodaeun.3@daum.net,010-6285-7714,경기도 용인시 기흥구 영덕동,37000000,16,12,우리은행,1006-433-041899,가입,62,,,,,D,,,비해당,,,
EMP0061,윤지민,여,41,1986-03-06,860306-2932831,해당없음,2020-01-27,6,대학원졸,고려대학교,3.5,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀원,1,,,yoonjimin.4@gmail.com,010-2658-4784,경기도 수원시 영통구 매탄동,48000000,27,1,농협은행,302-5750-7346-27,가입,78,C,B,B,B,B,정보처리기사,880,해당,,,
EMP0062,서다은,여,41,1986-03-18,860318-2551504,해당없음,2019-10-21,6,대졸,광운대학교,3.5,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,과장,팀원,1,,,seodaeun56@kakao.com,010-1003-1567,서울시 강동구 천호동,59000000,27,6,카카오뱅크,333-26-0710884,가입,77,B,B,B,B,B,정보보안기사,666,해당,,,
EMP0063,곽지후,남,27,2000-06-01,000601-3724145,미필,2023-04-07,3,대졸,연세대학교,2.7,인턴전환,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,kwakjihoo54@gmail.com,010-4714-1187,경기도 용인시 기흥구 영덕동,42000000,10,2,하나은행,162-873346-1651,가입,80,,,,C,A,ADsP,,해당,,,
EMP0064,최수빈,여,31,1996-03-11,960311-2686464,해당없음,2019-09-19,6,대졸,세종대학교,3.6,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀원,1,,,choisubin_dev@kakao.com,010-6298-2467,서울시 서초구 서초동,56000000,25,6,신한은행,110-707-751361,가입,80,A,A,B,B,B,빅데이터분석기사,896,해당,,,
EMP0065,허하늘,여,30,1997-11-01,971101-2123853,해당없음,2021-06-20,4,대졸,명지대학교,3.4,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,교육팀,3,대리,팀원,1,,,heohaneul.8@nate.com,010-3315-1301,서울시 은평구 불광동,42000000,13,6,하나은행,200-416263-4588,가입,74,,C,C,C,B,컴퓨터활용능력1급,855,해당,,,
EMP0066,안준우,남,28,1999-05-02,990502-1755602,면제,2025-12-20,0,대졸,숙명여자대학교,3.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,사원,팀원,1,정년퇴직,2026-02-18,ahnjunwoo.1@daum.net,010-4695-3485,서울시 용산구 이태원동,40700000,8,8,신한은행,100-523-654519,가입,76,,,,,,컴퓨터활용능력1급,701,해당,,정직,복무규정위반
EMP0067,지수아,여,30,1997-11-22,971122-2265725,해당없음,2022-11-20,3,전문대졸,영진전문대학교,3.9,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jisua13@kakao.com,010-5970-8258,경기도 용인시 기흥구 영덕동,33000000,6,3,우리은행,1002-830-076092,가입,77,,,B,B,B,,965,비해당,,,
EMP0068,임다은,여,26,2001-10-20,011020-4878427,해당없음,2025-01-25,1,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,사원,팀원,1,,,limdaeun98@naver.com,010-8005-7633,서울시 강남구 삼성동,34000000,17,2,토스뱅크,100-5705-8843,가입,66,,,,,,정보처리기사,507,해당,,,
EMP0069,방지수,여,36,1991-09-17,910917-2823468,해당없음,2018-10-20,7,대졸,덕성여자대학교,3.8,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,대리,팀원,1,,,bangjisu_612@kakao.com,010-7775-6299,서울시 강서구 마곡동,52800000,17,2,카카오뱅크,333-35-0590716,가입,82,C,B,C,C,B,,585,비해당,,,
EMP0070,오민호,남,39,1988-06-23,880623-1756883,군필,2011-02-09,15,대졸,고려대학교,3.5,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,차장,팀원,2,정년퇴직,2023-08-01,ohminho11@kakao.com,010-9904-1094,인천시 부평구 부평동,70000000,16,6,우리은행,1006-536-387081,가입,80,B,A,A,A,C,정보처리기사,658,해당,,,
